,index,0
0,0,31270
1,1,33435
2,2,34506
3,3,36101
4,4,36119
5,5,36773
6,6,37033
7,7,37119
8,8,38031
9,9,38259
10,10,38293
11,11,39572
12,12,39597
13,13,39667
14,14,39927
15,15,39239
16,16,39271
17,17,39293
18,18,39535
19,19,39623
20,20,40107
21,21,40139
22,22,40331
23,23,40394
24,24,40419
25,25,40818
26,26,41094
27,27,41286
28,28,41332
29,29,41633
30,30,41747
31,31,41773
32,32,41776
33,33,41928
34,34,41981
35,35,42071
36,36,42098
37,37,42112
38,38,42191
39,39,42264
40,40,42297
41,41,42297
42,42,42377
43,43,42721
44,44,42963
45,45,43076
46,46,43320
47,47,46675
48,48,47890
49,49,48141
50,50,49637
51,51,52536
52,52,52611
53,53,52735
54,54,53179
55,55,54156
56,56,58816
57,57,60325
58,58,63574
59,59,68867
60,60,73365
61,61,78138
62,0,14887
63,1,19863
64,2,21811
65,3,21867
66,4,23877
67,5,24863
68,6,27444
69,7,27467
70,8,27633
71,9,28631
72,10,28761
73,11,28811
74,12,29511
75,13,29833
76,14,30843
77,15,32433
78,16,32577
79,17,32841
80,18,33611
81,19,33708
82,20,33821
83,21,33822
84,22,33886
85,23,34288
86,24,34887
87,25,36821
88,26,37633
89,27,38844
90,28,40477
91,29,40631
92,30,41633
93,31,41877
94,32,42633
95,33,43633
96,34,48411
97,35,48588
98,36,50867
99,37,50877
100,38,58844
